game_id,season,week_label,away_team,home_team,away_score,home_score
2024_026,2024,ScheduleAwayHomeNotesStatusLinksQueen's14Western39Final*ConferenceBox ScoreOttawa20Laurier32Final*ConferenceVideoRecapRecapWaterloo25Guelph42Final*ConferenceYork10Carleton24Final*ConferenceBox ScoreToronto5Windsor52Final*ConferenceVideoBox Score,Queen's,Western,14,39
2024_027,2024,ScheduleAwayHomeNotesStatusLinksQueen's14Western39Final*ConferenceBox ScoreOttawa20Laurier32Final*ConferenceVideoRecapRecapWaterloo25Guelph42Final*ConferenceYork10Carleton24Final*ConferenceBox ScoreToronto5Windsor52Final*ConferenceVideoBox Score,Ottawa,Laurier,20,32
2024_028,2024,ScheduleAwayHomeNotesStatusLinksQueen's14Western39Final*ConferenceBox ScoreOttawa20Laurier32Final*ConferenceVideoRecapRecapWaterloo25Guelph42Final*ConferenceYork10Carleton24Final*ConferenceBox ScoreToronto5Windsor52Final*ConferenceVideoBox Score,Waterloo,Guelph,25,42
2024_029,2024,ScheduleAwayHomeNotesStatusLinksQueen's14Western39Final*ConferenceBox ScoreOttawa20Laurier32Final*ConferenceVideoRecapRecapWaterloo25Guelph42Final*ConferenceYork10Carleton24Final*ConferenceBox ScoreToronto5Windsor52Final*ConferenceVideoBox Score,York,Carleton,10,24
2024_030,2024,ScheduleAwayHomeNotesStatusLinksQueen's14Western39Final*ConferenceBox ScoreOttawa20Laurier32Final*ConferenceVideoRecapRecapWaterloo25Guelph42Final*ConferenceYork10Carleton24Final*ConferenceBox ScoreToronto5Windsor52Final*ConferenceVideoBox Score,Toronto,Windsor,5,52
2024_031,2024,ScheduleAwayHomeNotesStatusLinksWestern61McMaster26Final*ConferenceBox ScoreQueen's21Laurier51Final*ConferenceBox ScoreWaterloo24York39Final*ConferenceBox ScoreWindsor40Guelph45Final*ConferenceBox Score,Western,McMaster,61,26
2024_032,2024,ScheduleAwayHomeNotesStatusLinksWestern61McMaster26Final*ConferenceBox ScoreQueen's21Laurier51Final*ConferenceBox ScoreWaterloo24York39Final*ConferenceBox ScoreWindsor40Guelph45Final*ConferenceBox Score,Queen's,Laurier,21,51
2024_033,2024,ScheduleAwayHomeNotesStatusLinksWestern61McMaster26Final*ConferenceBox ScoreQueen's21Laurier51Final*ConferenceBox ScoreWaterloo24York39Final*ConferenceBox ScoreWindsor40Guelph45Final*ConferenceBox Score,Waterloo,York,24,39
2024_034,2024,ScheduleAwayHomeNotesStatusLinksWestern61McMaster26Final*ConferenceBox ScoreQueen's21Laurier51Final*ConferenceBox ScoreWaterloo24York39Final*ConferenceBox ScoreWindsor40Guelph45Final*ConferenceBox Score,Windsor,Guelph,40,45
2024_035,2024,"ScheduleAwayHomeNotesStatusLinksCarleton32Ottawa35TD Place / Place TD  @ Ottawa, ONFinal*ConferenceVideoBox ScoreRecap",Carleton,Ottawa,32,35
2024_036,2024,ScheduleAwayHomeNotesStatusLinksGuelph33York19Final*ConferenceBox ScoreMcMaster34Waterloo32Final - OT*ConferenceVideoWestern61Toronto6Final*ConferenceVideoLaurier33Windsor26Final*Conference,Guelph,York,33,19
2024_037,2024,ScheduleAwayHomeNotesStatusLinksGuelph33York19Final*ConferenceBox ScoreMcMaster34Waterloo32Final - OT*ConferenceVideoWestern61Toronto6Final*ConferenceVideoLaurier33Windsor26Final*Conference,McMaster,Waterloo,34,32
2024_038,2024,ScheduleAwayHomeNotesStatusLinksGuelph33York19Final*ConferenceBox ScoreMcMaster34Waterloo32Final - OT*ConferenceVideoWestern61Toronto6Final*ConferenceVideoLaurier33Windsor26Final*Conference,Western,Toronto,61,6
2024_039,2024,ScheduleAwayHomeNotesStatusLinksGuelph33York19Final*ConferenceBox ScoreMcMaster34Waterloo32Final - OT*ConferenceVideoWestern61Toronto6Final*ConferenceVideoLaurier33Windsor26Final*Conference,Laurier,Windsor,33,26
2024_040,2024,ScheduleAwayHomeNotesStatusLinksToronto7Ottawa49Final*ConferenceVideoRecapYork21McMaster24Final*ConferenceBox ScoreWaterloo7Queen's54Final*ConferenceWindsor5Western46Final*ConferenceBox ScoreLaurier44Carleton24Final*ConferenceBox Score,Toronto,Ottawa,7,49
2024_041,2024,ScheduleAwayHomeNotesStatusLinksToronto7Ottawa49Final*ConferenceVideoRecapYork21McMaster24Final*ConferenceBox ScoreWaterloo7Queen's54Final*ConferenceWindsor5Western46Final*ConferenceBox ScoreLaurier44Carleton24Final*ConferenceBox Score,York,McMaster,21,24
2024_042,2024,ScheduleAwayHomeNotesStatusLinksToronto7Ottawa49Final*ConferenceVideoRecapYork21McMaster24Final*ConferenceBox ScoreWaterloo7Queen's54Final*ConferenceWindsor5Western46Final*ConferenceBox ScoreLaurier44Carleton24Final*ConferenceBox Score,Waterloo,Queen's,7,54
2024_043,2024,ScheduleAwayHomeNotesStatusLinksToronto7Ottawa49Final*ConferenceVideoRecapYork21McMaster24Final*ConferenceBox ScoreWaterloo7Queen's54Final*ConferenceWindsor5Western46Final*ConferenceBox ScoreLaurier44Carleton24Final*ConferenceBox Score,Windsor,Western,5,46
2024_044,2024,ScheduleAwayHomeNotesStatusLinksToronto7Ottawa49Final*ConferenceVideoRecapYork21McMaster24Final*ConferenceBox ScoreWaterloo7Queen's54Final*ConferenceWindsor5Western46Final*ConferenceBox ScoreLaurier44Carleton24Final*ConferenceBox Score,Laurier,Carleton,44,24
